2.080	-1373.420	583.049
2.090	-1355.776	562.053
2.100	-1338.350	541.733
2.110	-1321.145	522.073
2.120	-1304.162	503.053
2.130	-1287.403	484.658
2.140	-1270.870	466.868
2.150	-1254.564	449.667
2.160	-1238.485	433.037
2.170	-1222.633	416.963
2.180	-1207.009	401.427
2.190	-1191.613	386.412
2.200	-1176.443	371.905
2.210	-1161.499	357.889
2.220	-1146.780	344.348
2.230	-1132.284	331.268
2.240	-1118.011	318.635
2.250	-1103.957	306.433
2.260	-1090.123	294.651
2.270	-1076.505	283.273
2.280	-1063.102	272.288
2.290	-1049.911	261.682
2.300	-1036.930	251.443
2.310	-1024.157	241.559
2.320	-1011.589	232.018
2.330	-999.223	222.808
2.340	-987.058	213.920
2.350	-975.090	205.340
2.360	-963.317	197.061
2.370	-951.736	189.071
2.380	-940.344	181.360
2.390	-929.138	173.919
2.400	-918.116	166.740
2.410	-907.275	159.812
2.420	-896.611	153.128
2.430	-886.122	146.678
2.440	-875.805	140.454
2.450	-865.658	134.449
2.460	-855.677	128.656
2.470	-845.859	123.068
2.480	-836.203	117.675
2.490	-826.704	112.474
2.500	-817.361	107.456
2.510	-808.170	102.616
2.520	-799.129	97.947
2.530	-790.236	93.444
2.540	-781.486	89.100
2.550	-772.879	84.910
2.560	-764.412	80.869
2.570	-756.081	76.972
2.580	-747.884	73.213
2.590	-739.819	69.587
2.600	-731.883	66.091
2.610	-724.075	62.719
2.620	-716.390	59.468
2.630	-708.829	56.333
2.640	-701.387	53.310
2.650	-694.063	50.394
2.660	-686.869	47.657
2.670	-679.759	44.873
2.680	-672.774	42.261
2.690	-665.899	39.742
2.700	-659.131	37.314
2.710	-652.468	34.973
2.720	-645.921	32.779
2.730	-639.449	30.544
2.740	-633.089	28.449
2.750	-626.826	26.429
2.760	-620.658	24.484
2.770	-614.585	22.609
2.780	-608.603	20.803
2.790	-602.711	19.063
2.800	-596.908	17.386
2.810	-591.191	15.773
2.820	-585.560	14.218
2.830	-580.012	12.721
2.840	-574.546	11.280
2.850	-569.160	9.892
2.860	-563.854	8.557
2.870	-558.632	7.299
2.880	-553.472	6.035
2.890	-548.393	4.846
2.900	-543.388	3.701
2.910	-538.455	2.601
2.920	-533.592	1.543
2.930	-528.799	0.526
